id_turma,discente,id_curso,unidade,nota,reposicao,faltas_unidade,media_final,numero_total_faltas,descricao,semestre,turno
57565214,b433ff4854fc0247521a8d85ac933932,92127264.0,3.0,8.0,f,0.0,7.5,0.0,APROVADO,2015.2,Vespertino
57565214,f8fbf27b209754521cdbc40840a5a8c3,92127264.0,3.0,7.5,f,0.0,6.0,0.0,APROVADO POR NOTA,2015.2,Vespertino
57565214,aa00f9c2f38e7757521cf0d96b480b90,92127264.0,3.0,7.5,f,0.0,7.5,0.0,APROVADO,2015.2,Vespertino
57565214,955ba10f8916207996e764ffcb355b02,92127264.0,3.0,7.5,f,0.0,6.5,0.0,APROVADO POR NOTA,2015.2,Vespertino
57565214,a056f5d41cd8918f1f154de7c3f0575e,92127264.0,3.0,8.0,f,0.0,7.5,0.0,APROVADO,2015.2,Vespertino
57565214,4502ef9166c14d7469243abd3dc0f70d,92127264.0,3.0,8.5,f,0.0,8.3,0.0,APROVADO,2015.2,Vespertino
57565214,5ae28cd41b501ff35073a13dd1370d64,92127264.0,3.0,8.0,f,0.0,8.2,0.0,APROVADO,2015.2,Vespertino
57565214,f9050ce6ad26787023581e2cc346e703,92127264.0,3.0,7.5,f,0.0,6.2,0.0,APROVADO POR NOTA,2015.2,Vespertino
57565214,97fe348def50c5c3375b5167701c7202,92127264.0,3.0,8.0,f,0.0,7.3,0.0,APROVADO,2015.2,Vespertino
57565214,80f9d9e023fb9a2d30a678e02184bd23,92127264.0,3.0,7.5,f,0.0,5.2,0.0,APROVADO POR NOTA,2015.2,Vespertino
57565214,40d6eb384c524c0ce12349fa81c29257,92127264.0,3.0,7.5,f,0.0,6.7,0.0,APROVADO POR NOTA,2015.2,Vespertino
57565214,ea18bf31bb8dfce225f59c05f81a41e3,92127264.0,1.0,4.5,f,0.0,5.5,0.0,APROVADO POR NOTA,2015.2,Vespertino
57565214,d824a65694825c68d4f0a45ae766e171,92127264.0,3.0,7.5,f,0.0,5.7,0.0,APROVADO POR NOTA,2015.2,Vespertino
57565214,016267aa411734c33aa95325327133dd,92127264.0,2.0,7.5,f,0.0,7.3,0.0,APROVADO,2015.2,Vespertino
57565214,7448bbfeb9b87ec12bbb49b0c0e87e7d,92127264.0,3.0,7.5,f,0.0,6.3,0.0,APROVADO POR NOTA,2015.2,Vespertino
57565214,c6d91f6faa21bd207733d05e491aa0e1,92127264.0,3.0,8.0,f,0.0,7.5,0.0,APROVADO,2015.2,Vespertino
57565214,7629912c85dc9e2141fe596538cf2c02,92127264.0,3.0,7.0,f,0.0,6.8,0.0,APROVADO POR NOTA,2015.2,Vespertino
57565214,fd67ce939432d220dc3ab6030c9b349f,92127264.0,,,,,,,DESISTENCIA,2015.2,Vespertino
57565214,b25a25399dc37c059edb5dd15c53e52d,92127264.0,1.0,5.5,f,0.0,6.0,0.0,APROVADO POR NOTA,2015.2,Vespertino
